MatchID,Team,Opponent,Innings,PlayerID,Role,Runs,Balls,4s,6s,StrikeRate,Dismissal,PlayerName
1,Punjab,Puducherry,1,659,Bowler,3,4,0,0,75,Caught,Manav_PB
1,Punjab,Puducherry,1,672,Wicket Keeper,40,53,7,0,75.47,Bowled,Pranav_PB
1,Punjab,Puducherry,1,671,Wicket Keeper,71,104,11,3,68.27,LBW,Ishan_PB
1,Punjab,Puducherry,1,655,Batter,9,14,1,0,64.29,Caught,Nikhil_PB
1,Punjab,Puducherry,1,651,Batter,10,17,0,0,58.82,Stumped,Ishan_PB
1,Punjab,Puducherry,1,654,Batter,15,28,3,0,53.57,Caught,Karthik_PB
1,Punjab,Puducherry,1,670,All-rounder,15,18,3,0,83.33,LBW,Arjun_PB
1,Punjab,Puducherry,1,667,All-rounder,20,26,3,1,76.92,Bowled,Shreyas_PB
1,Punjab,Puducherry,1,665,All-rounder,6,9,1,0,66.67,Caught,Rahul_PB
1,Punjab,Puducherry,1,657,Bowler,71,111,0,3,63.96,Run Out,Aditya_PB
1,Punjab,Puducherry,1,649,Batter,9,15,1,0,60,Not Out,Gautham_PB
1,Puducherry,Punjab,1,636,Bowler,23,29,2,0,79.31,Caught,Sarthak_PY
1,Puducherry,Punjab,1,644,All-rounder,2,3,0,0,66.67,LBW,Abhinav_PY
1,Puducherry,Punjab,1,635,Bowler,36,54,7,0,66.67,Bowled,Manav_PY
1,Puducherry,Punjab,1,633,Bowler,34,56,0,1,60.71,Caught,Aditya_PY
1,Puducherry,Punjab,1,646,All-rounder,14,25,1,1,56,Run Out,Arjun_PY
1,Puducherry,Punjab,1,645,All-rounder,38,72,6,0,52.78,Caught,Gautham_PY
1,Puducherry,Punjab,1,626,Batter,24,30,0,0,80,Bowled,Arjun_PY
1,Puducherry,Punjab,1,634,Bowler,39,53,5,0,73.58,LBW,Yash_PY
1,Puducherry,Punjab,1,631,Batter,2,3,0,0,66.67,Caught,Nikhil_PY
1,Puducherry,Punjab,1,630,Batter,36,58,5,0,62.07,Stumped,Karthik_PY
1,Puducherry,Punjab,1,629,Batter,6,11,0,0,54.55,Not Out,Dev_PY
1,Punjab,Puducherry,2,660,Bowler,7,8,1,0,87.5,Caught,Sarthak_PB
1,Punjab,Puducherry,2,668,All-rounder,32,42,5,1,76.19,Run Out,Abhinav_PB
1,Punjab,Puducherry,2,653,Batter,16,23,1,0,69.57,Caught,Dev_PB
1,Punjab,Puducherry,2,669,All-rounder,15,24,1,0,62.5,Bowled,Gautham_PB
1,Punjab,Puducherry,2,671,Wicket Keeper,7,12,1,0,58.33,LBW,Ishan_PB
1,Punjab,Puducherry,2,655,Batter,32,59,3,0,54.24,Caught,Nikhil_PB
1,Punjab,Puducherry,2,662,Bowler,12,14,0,1,85.71,Stumped,Neeraj_PB
1,Punjab,Puducherry,2,664,All-rounder,22,28,2,1,78.57,Caught,Sai_PB
1,Punjab,Puducherry,2,652,Batter,22,31,1,0,70.97,LBW,Pranav_PB
1,Punjab,Puducherry,2,672,Wicket Keeper,24,37,3,1,64.86,Bowled,Pranav_PB
1,Punjab,Puducherry,2,650,Batter,2,3,0,0,66.67,Not Out,Arjun_PB
1,Puducherry,Punjab,2,642,All-rounder,40,49,2,0,81.63,Caught,Aniket_PY
1,Puducherry,Punjab,2,628,Batter,66,90,11,0,73.33,Stumped,Pranav_PY
1,Puducherry,Punjab,2,636,Bowler,61,91,4,0,67.03,Caught,Sarthak_PY
1,Puducherry,Punjab,2,637,Bowler,60,97,3,0,61.86,LBW,Harsh_PY
1,Puducherry,Punjab,2,646,All-rounder,35,61,0,1,57.38,Bowled,Arjun_PY
1,Puducherry,Punjab,2,647,Wicket Keeper,24,45,5,0,53.33,Caught,Ishan_PY
1,Puducherry,Punjab,2,635,Bowler,59,71,11,1,83.1,Run Out,Manav_PY
1,Puducherry,Punjab,2,648,Wicket Keeper,71,95,0,1,74.74,Caught,Pranav_PY
1,Puducherry,Punjab,2,644,All-rounder,5,7,0,0,71.43,Bowled,Abhinav_PY
1,Puducherry,Punjab,2,631,Batter,1,2,0,0,50,LBW,Nikhil_PY
1,Puducherry,Punjab,2,634,Bowler,25,43,4,1,58.14,Not Out,Yash_PY
2,Delhi,Kerala,1,215,Wicket Keeper,11,21,1,0,52.38,LBW,Ishan_DL
2,Delhi,Kerala,1,202,Bowler,38,48,4,1,79.17,Caught,Yash_DL
2,Delhi,Kerala,1,204,Bowler,31,43,1,0,72.09,Stumped,Sarthak_DL
2,Delhi,Kerala,1,203,Bowler,22,33,3,0,66.67,Caught,Manav_DL
2,Delhi,Kerala,1,193,Batter,57,93,8,0,61.29,LBW,Gautham_DL
2,Delhi,Kerala,1,199,Batter,31,55,6,1,56.36,Bowled,Nikhil_DL
2,Delhi,Kerala,1,214,All-rounder,34,65,7,1,52.31,Caught,Arjun_DL
2,Delhi,Kerala,1,201,Bowler,15,18,2,0,83.33,Run Out,Aditya_DL
2,Delhi,Kerala,1,216,Wicket Keeper,50,68,1,1,73.53,Caught,Pranav_DL
2,Delhi,Kerala,1,208,All-rounder,26,39,4,1,66.67,Bowled,Sai_DL
2,Delhi,Kerala,1,209,All-rounder,53,86,4,2,61.63,Not Out,Rahul_DL
2,Kerala,Delhi,1,416,Batter,38,44,5,2,86.36,Bowled,Rohan_KL
2,Kerala,Delhi,1,424,All-rounder,51,66,5,1,77.27,Caught,Sai_KL
2,Kerala,Delhi,1,413,Batter,1,1,0,0,100,Run Out,Dev_KL
2,Kerala,Delhi,1,432,Wicket Keeper,18,28,3,1,64.29,Caught,Pranav_KL
2,Kerala,Delhi,1,422,Bowler,22,37,2,1,59.46,Bowled,Neeraj_KL
2,Kerala,Delhi,1,419,Bowler,12,22,0,1,54.55,LBW,Manav_KL
2,Kerala,Delhi,1,426,All-rounder,51,59,3,2,86.44,Caught,Aniket_KL
2,Kerala,Delhi,1,425,All-rounder,3,4,0,0,75,Stumped,Rahul_KL
2,Kerala,Delhi,1,412,Batter,39,55,2,2,70.91,Caught,Pranav_KL
2,Kerala,Delhi,1,417,Bowler,43,66,1,1,65.15,LBW,Aditya_KL
2,Kerala,Delhi,1,430,All-rounder,13,22,1,0,59.09,Not Out,Arjun_KL
2,Delhi,Kerala,2,205,Bowler,39,74,9,0,52.7,Caught,Harsh_DL
2,Delhi,Kerala,2,206,Bowler,37,46,5,1,80.43,Bowled,Neeraj_DL
2,Delhi,Kerala,2,200,Batter,10,14,2,0,71.43,LBW,Rohan_DL
2,Delhi,Kerala,2,194,Batter,20,30,3,1,66.67,Caught,Arjun_DL
2,Delhi,Kerala,2,201,Bowler,47,76,9,1,61.84,Stumped,Aditya_DL
2,Delhi,Kerala,2,203,Bowler,64,112,4,3,57.14,Caught,Manav_DL
2,Delhi,Kerala,2,207,Bowler,6,11,0,0,54.55,LBW,Vivek_DL
2,Delhi,Kerala,2,212,All-rounder,37,45,1,0,82.22,Bowled,Abhinav_DL
2,Delhi,Kerala,2,196,Batter,19,25,1,0,76,Caught,Pranav_DL
2,Delhi,Kerala,2,198,Batter,28,41,3,0,68.29,Run Out,Karthik_DL
2,Delhi,Kerala,2,197,Batter,8,13,0,0,61.54,Not Out,Dev_DL
2,Kerala,Delhi,2,418,Bowler,23,26,5,0,88.46,Caught,Yash_KL
2,Kerala,Delhi,2,425,All-rounder,42,54,2,1,77.78,LBW,Rahul_KL
2,Kerala,Delhi,2,421,Bowler,11,16,2,0,68.75,Bowled,Harsh_KL
2,Kerala,Delhi,2,431,Wicket Keeper,10,15,1,0,66.67,Caught,Ishan_KL
2,Kerala,Delhi,2,410,Batter,40,67,0,2,59.7,Run Out,Arjun_KL
2,Kerala,Delhi,2,419,Bowler,3,5,0,0,60,Caught,Manav_KL
2,Kerala,Delhi,2,417,Bowler,12,23,0,1,52.17,Bowled,Aditya_KL
2,Kerala,Delhi,2,429,All-rounder,21,26,1,0,80.77,LBW,Gautham_KL
2,Kerala,Delhi,2,413,Batter,34,47,7,0,72.34,Caught,Dev_KL
2,Kerala,Delhi,2,432,Wicket Keeper,42,64,4,1,65.63,Stumped,Pranav_KL
2,Kerala,Delhi,2,423,Bowler,0,1,0,0,0,Not Out,Vivek_KL
3,Punjab,Bengal,1,659,Bowler,6,11,1,0,54.55,LBW,Manav_PB
3,Punjab,Bengal,1,672,Wicket Keeper,51,61,11,1,83.61,Bowled,Pranav_PB
3,Punjab,Bengal,1,671,Wicket Keeper,63,83,4,1,75.9,Caught,Ishan_PB
3,Punjab,Bengal,1,662,Bowler,14,20,2,0,70,Run Out,Neeraj_PB
3,Punjab,Bengal,1,657,Bowler,14,22,2,0,63.64,Caught,Aditya_PB
3,Punjab,Bengal,1,666,All-rounder,50,86,2,0,58.14,Bowled,Aniket_PB
3,Punjab,Bengal,1,660,Bowler,68,125,4,0,54.4,LBW,Sarthak_PB
3,Punjab,Bengal,1,656,Batter,24,28,5,0,85.71,Caught,Rohan_PB
3,Punjab,Bengal,1,669,All-rounder,51,66,7,1,77.27,Stumped,Gautham_PB
3,Punjab,Bengal,1,668,All-rounder,36,51,4,1,70.59,Caught,Abhinav_PB
3,Punjab,Bengal,1,655,Batter,10,16,0,0,62.5,Not Out,Nikhil_PB
3,Bengal,Punjab,1,102,Batter,46,80,2,1,57.5,Stumped,Karthik_BG
3,Bengal,Punjab,1,106,Bowler,58,108,7,0,53.7,Caught,Yash_BG
3,Bengal,Punjab,1,104,Batter,51,61,3,0,83.61,LBW,Rohan_BG
3,Bengal,Punjab,1,100,Batter,61,81,3,1,75.31,Bowled,Pranav_BG
3,Bengal,Punjab,1,116,All-rounder,31,45,7,0,68.89,Caught,Abhinav_BG
3,Bengal,Punjab,1,99,Batter,24,38,5,0,63.16,Run Out,Ishan_BG
3,Bengal,Punjab,1,114,All-rounder,30,52,4,1,57.69,Caught,Aniket_BG
3,Bengal,Punjab,1,120,Wicket Keeper,29,54,3,1,53.7,Bowled,Pranav_BG
3,Bengal,Punjab,1,103,Batter,56,66,1,3,84.85,LBW,Nikhil_BG
3,Bengal,Punjab,1,118,All-rounder,1,1,0,0,100,Caught,Arjun_BG
3,Bengal,Punjab,1,112,All-rounder,50,72,6,1,69.44,Not Out,Sai_BG
3,Punjab,Bengal,2,651,Batter,6,11,1,0,54.55,Stumped,Ishan_PB
3,Punjab,Bengal,2,653,Batter,56,66,1,3,84.85,Caught,Dev_PB
3,Punjab,Bengal,2,662,Bowler,49,64,4,1,76.56,LBW,Neeraj_PB
3,Punjab,Bengal,2,649,Batter,41,59,2,1,69.49,Bowled,Gautham_PB
3,Punjab,Bengal,2,661,Bowler,11,17,0,0,64.71,Caught,Harsh_PB
3,Punjab,Bengal,2,669,All-rounder,44,74,0,1,59.46,Run Out,Gautham_PB
3,Punjab,Bengal,2,664,All-rounder,2,4,0,0,50,Caught,Sai_PB
3,Punjab,Bengal,2,671,Wicket Keeper,13,15,0,0,86.67,Bowled,Ishan_PB
3,Punjab,Bengal,2,654,Batter,39,50,5,0,78,LBW,Karthik_PB
3,Punjab,Bengal,2,663,Bowler,17,24,1,1,70.83,Caught,Vivek_PB
3,Punjab,Bengal,2,667,All-rounder,31,48,5,0,64.58,Not Out,Shreyas_PB
3,Bengal,Punjab,2,101,Batter,79,136,1,0,58.09,LBW,Dev_BG
3,Bengal,Punjab,2,104,Batter,7,13,0,0,53.85,Caught,Rohan_BG
3,Bengal,Punjab,2,103,Batter,2,2,0,0,100,Stumped,Nikhil_BG
3,Bengal,Punjab,2,119,Wicket Keeper,43,56,5,1,76.79,Caught,Ishan_BG
3,Bengal,Punjab,2,111,Bowler,81,117,9,1,69.23,LBW,Vivek_BG
3,Bengal,Punjab,2,117,All-rounder,31,49,6,1,63.27,Bowled,Gautham_BG
3,Bengal,Punjab,2,105,Bowler,19,32,3,0,59.38,Caught,Aditya_BG
3,Bengal,Punjab,2,118,All-rounder,4,7,0,0,57.14,Run Out,Arjun_BG
3,Bengal,Punjab,2,108,Bowler,65,75,6,1,86.67,Caught,Sarthak_BG
3,Bengal,Punjab,2,109,Bowler,24,31,2,1,77.42,Bowled,Harsh_BG
3,Bengal,Punjab,2,97,Batter,4,6,0,0,66.67,Not Out,Gautham_BG
4,Madhya Pradesh,Services,1,437,Batter,41,59,0,1,69.49,Stumped,Dev_MP
4,Madhya Pradesh,Services,1,446,Bowler,1,2,0,0,50,Caught,Neeraj_MP
4,Madhya Pradesh,Services,1,453,All-rounder,27,46,5,1,58.7,LBW,Gautham_MP
4,Madhya Pradesh,Services,1,452,All-rounder,26,48,5,1,54.17,Bowled,Abhinav_MP
4,Madhya Pradesh,Services,1,456,Wicket Keeper,6,7,1,0,85.71,Caught,Pranav_MP
4,Madhya Pradesh,Services,1,449,All-rounder,34,44,1,1,77.27,Run Out,Rahul_MP
4,Madhya Pradesh,Services,1,439,Batter,41,58,5,1,70.69,Caught,Nikhil_MP
4,Madhya Pradesh,Services,1,435,Batter,0,1,0,0,0,Bowled,Ishan_MP
4,Madhya Pradesh,Services,1,454,All-rounder,16,27,1,1,59.26,LBW,Arjun_MP
4,Madhya Pradesh,Services,1,455,Wicket Keeper,3,5,0,0,60,Caught,Ishan_MP
4,Madhya Pradesh,Services,1,441,Bowler,2,4,0,0,50,Not Out,Aditya_MP
4,Services,Madhya Pradesh,1,760,All-rounder,69,101,5,3,68.32,LBW,Sai_SV
4,Services,Madhya Pradesh,1,750,Batter,40,64,4,0,62.5,Bowled,Karthik_SV
